date,middlePB,close,pb_pct
2012-08-15,2.41,2118.95,0.3171258779038358
2012-08-16,2.39,2112.2,0.3142548596112311
2012-08-17,2.4,2114.89,0.31516459794927143
2012-08-20,2.42,2106.96,0.3214670981661273
2012-08-21,2.45,2118.27,0.33045822102425876
2012-08-22,2.44,2107.71,0.3259698275862069
2012-08-23,2.45,2113.07,0.3306408185245019
2012-08-24,2.39,2092.1,0.3132400430570506
2012-08-27,2.33,2055.71,0.300161377084454
2012-08-28,2.35,2073.15,0.30268817204301074
2012-08-29,2.34,2053.24,0.3019881783987104
2012-08-30,2.3,2052.59,0.28839957035445757
2012-08-31,2.3,2047.52,0.2882447665056361
2012-09-03,2.35,2059.15,0.30364806866952787
2012-09-04,2.33,2043.65,0.3002680965147453
2012-09-05,2.36,2037.68,0.30760986066452306
2012-09-06,2.39,2051.92,0.3160149973219068
2012-09-07,2.47,2127.76,0.33779443254817987
2012-09-10,2.5,2134.89,0.3445692883895131
2012-09-11,2.49,2120.55,0.3433155080213904
2012-09-12,2.51,2126.55,0.347407803313736
2012-09-13,2.46,2110.38,0.33547008547008544
2012-09-14,2.45,2123.85,0.33315536572343835
2012-09-17,2.38,2078.5,0.3121664887940235
2012-09-18,2.37,2059.54,0.3104
2012-09-19,2.4,2067.83,0.31769722814498935
2012-09-20,2.31,2024.84,0.2914224826851359
2012-09-21,2.29,2026.69,0.28434504792332266
2012-09-24,2.31,2033.19,0.2916444917509313
2012-09-25,2.29,2029.29,0.28404255319148936
2012-09-26,2.23,2004.17,0.25996810207336524
2012-09-27,2.28,2056.32,0.28108395324123275
2012-09-28,2.33,2086.17,0.3005841741901221
2012-10-08,2.32,2074.42,0.2961783439490446
2012-10-09,2.38,2115.23,0.31511936339522545
2012-10-10,2.4,2119.94,0.3207847295864263
2012-10-11,2.37,2102.87,0.31266560678325384
2012-10-12,2.36,2104.93,0.3082627118644068
2012-10-15,2.34,2098.7,0.3033350979354156
2012-10-16,2.35,2098.81,0.3047619047619048
2012-10-17,2.35,2105.62,0.3046007403490217
2012-10-18,2.39,2131.69,0.3202959830866808
2012-10-19,2.39,2128.3,0.3201267828843106
2012-10-22,2.4,2132.76,0.32312565997888065
2012-10-23,2.37,2114.45,0.31345646437994723
2012-10-24,2.35,2115.99,0.3037974683544304
2012-10-25,2.33,2101.58,0.2988929889298893
2012-10-26,2.26,2066.21,0.2697576396206533
2012-10-29,2.26,2058.94,0.26961558715113215
2012-10-30,2.25,2062.35,0.26473684210526316
2012-10-31,2.25,2068.88,0.2645975802209363
2012-11-01,2.29,2104.43,0.28391167192429023
2012-11-02,2.3,2117.05,0.28691539674198635
2012-11-05,2.3,2114.03,0.2867647058823529
2012-11-06,2.28,2106.0,0.27979002624671917
2012-11-07,2.28,2105.73,0.2796432318992655
2012-11-08,2.22,2071.51,0.2517042475091767
2012-11-09,2.21,2069.07,0.25
2012-11-12,2.23,2079.27,0.2572027239392352
2012-11-13,2.18,2047.89,0.2350785340314136
2012-11-14,2.19,2055.42,0.2401883830455259
2012-11-15,2.15,2030.29,0.223326359832636
2012-11-16,2.14,2014.73,0.22007318348144275
2012-11-19,2.15,2016.98,0.22361546499477533
2012-11-20,2.15,2008.92,0.22349869451697127
2012-11-21,2.17,2030.32,0.23225469728601253
2012-11-22,2.14,2015.61,0.21961398017736045
2012-11-23,2.15,2027.38,0.22367049009384776
2012-11-26,2.13,2017.46,0.21782178217821782
2012-11-27,2.03,1991.17,0.17291666666666666
2012-11-28,1.98,1973.52,0.16345653305570015
2012-11-29,1.95,1963.49,0.15972944849115506
2012-11-30,1.98,1980.12,0.16380655226209048
2012-12-03,1.92,1959.77,0.1548856548856549
2012-12-04,1.94,1975.14,0.15896103896103897
2012-12-05,2.01,2031.91,0.1703011422637591
2012-12-06,2.01,2029.24,0.1702127659574468
2012-12-07,2.05,2061.79,0.18360995850622408
2012-12-10,2.09,2083.77,0.20476931052358735
2012-12-11,2.09,2074.7,0.20466321243523317
2012-12-12,2.09,2082.73,0.20455722423614708
2012-12-13,2.06,2061.48,0.18788819875776397
